Part,NCode,Branch,DateTime,Type,OP,Description
110251L,TECHNICAL DATA,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Bulb Type Filament
110256,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Vehicle Lighting
110256,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,12v 20w
110256,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110260,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Number plate and interior lights.<br/>Indicator&#44 brake and fog light.
110260,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110262,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commercial Vehicle Lighting
110262,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24v 5w
110262,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110267,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commercial Vehicle Lighting
110267,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24v 10w
110267,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110268,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commercial Vehicle Lighting
110268,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24v 10w
110268,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110269,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Commercial Vehicle Lighting
110269,PRODUCT DETAILS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,24v 15w
110269,SCOPE OF SUPPLY,ALL BRANCHES,25/08/2016 00:00:00,C,RE,10
110278,APPLICATION AREAS,ALL BRANCHES,25/08/2016 00:00:00,C,RE,Interior.<br/>Side and perimeter lighting&#44 parking light and tail light.<br/>Indicator&#44 brake and fog light.
